deployment_id,deployment_timestamp,split,risk_level,repo_domain,candidate_type,primary_service,branch_type,workflow_kind,hour,day_of_week,is_weekend,is_friday,is_off_hours,is_deployment_intent,run_attempt,commit_age_hours,commit_parent_count,additions,deletions,code_churn,changed_files,file_extension_entropy,service_area_count,service_criticality,is_database_migration,is_infrastructure_change,is_dependency_change,is_config_change,is_security_change,is_test_change,test_to_source_file_ratio,is_docs_only,has_lockfile_change,is_hotfix,is_revert,is_breaking_change,deployments_7d,deployments_30d,recent_change_velocity_7d,past_failed_runs_7d,past_failure_rate_30d,past_incidents_14d,past_rollbacks_30d,time_since_last_deployment_hours,actor_prior_deployments,actor_prior_failure_rate,service_deployments_30d,service_incident_rate_30d,on_call_available,expected_on_call_response_minutes,on_call_load_24h
kubernetes/kubernetes:20321667163,2025-12-18 00:25:52+00:00,train,Low,platform,explicit_deployment_intent,api_backend,main,deployment,0,3,0,0,1,1,1,0.001388888888888889,2,0,40,40,6,1.0,2,4,0,1,1,0,0,1,0.2,0,0,0,0,0,0,0,0.0,0,0.0,0,0,720.0,0.0,0.0,0,0.0,0,128.8,0
kubernetes/kubernetes:20327298934,2025-12-18 05:41:18+00:00,train,Medium,platform,explicit_deployment_intent,identity_security,main,deployment,5,3,0,0,1,1,1,0.0011111111111111111,2,223,148,371,31,1.7259,3,5,0,1,1,0,1,0,0.0,0,1,0,0,0,1,1,40.0,0,0.0,1,0,5.2572222222222225,1.0,0.0,0,0.0,1,33.0,1
kubernetes/kubernetes:20328339176,2025-12-18 06:36:41+00:00,train,High,platform,explicit_deployment_intent,identity_security,main,deployment,6,3,0,0,1,1,1,0.001388888888888889,2,351,156,507,48,1.5141,4,5,0,1,1,0,1,0,0.0,0,1,0,0,0,2,2,411.0,0,0.0,1,0,0.9230555555555555,2.0,0.0,1,0.0,1,36.0,2
kubernetes/kubernetes:20329381181,2025-12-18 07:27:36+00:00,train,Medium,platform,explicit_deployment_intent,identity_security,main,deployment,7,3,0,0,0,1,1,0.0016666666666666668,2,33,1587,1620,38,2.4703,5,5,0,1,1,0,1,0,0.0,0,1,0,0,0,3,3,918.0,0,0.0,2,0,0.8486111111111111,3.0,0.0,2,0.5,1,27.0,3
kubernetes/kubernetes:20333402343,2025-12-18 10:10:36+00:00,train,Low,platform,mainline_delivery_proxy,documentation,main,other,10,3,0,0,0,0,1,0.0016666666666666668,2,17,734,751,17,2.5869,1,1,0,0,1,0,0,0,0.0,0,1,0,0,0,4,4,2538.0,0,0.0,2,0,2.716666666666667,4.0,0.0,0,0.0,0,119.29,4
kubernetes/kubernetes:20333405582,2025-12-18 10:10:43+00:00,train,Low,platform,explicit_deployment_intent,infrastructure,main,deployment,10,3,0,0,0,1,1,0.001388888888888889,2,271,17,288,7,1.1488,1,4,0,1,1,1,0,1,0.1667,0,0,0,0,0,5,5,3289.0,0,0.0,2,0,0.0019444444444444444,5.0,0.0,0,0.0,0,126.84,5
kubernetes/kubernetes:20341253204,2025-12-18 15:01:24+00:00,train,Medium,platform,explicit_deployment_intent,identity_security,main,deployment,15,3,0,0,0,1,1,0.0019444444444444444,2,8,100,108,34,1.9155,6,5,0,1,1,0,1,0,0.0,0,1,0,0,0,6,6,3577.0,0,0.0,3,0,4.844722222222222,6.0,0.0,3,0.3333333333333333,1,36.0,6
kubernetes/kubernetes:20342896350,2025-12-18 15:55:22+00:00,train,High,platform,mainline_delivery_proxy,database,main,verification,15,3,0,0,0,0,1,0.0011111111111111111,2,130,540,670,300,0.0644,4,5,1,0,1,1,1,1,0.4925,0,1,0,0,0,7,7,3685.0,0,0.0,4,0,0.8994444444444445,7.0,0.0,0,0.0,1,39.0,7
kubernetes/kubernetes:20354232304,2025-12-18 23:13:28+00:00,train,Medium,platform,mainline_delivery_proxy,database,main,other,23,3,0,0,1,0,1,0.0011111111111111111,2,0,3285,3285,35,2.4436,3,5,1,1,1,0,0,1,0.1379,0,1,0,0,0,8,8,4355.0,1,0.125,5,1,7.301666666666667,8.0,0.125,1,1.0,1,54.0,8
kubernetes/kubernetes:20374845714,2025-12-19 15:40:48+00:00,train,Medium,platform,explicit_deployment_intent,identity_security,main,deployment,15,4,0,1,0,1,1,0.0030555555555555557,2,216,289,505,68,1.618,6,5,0,1,1,0,1,0,0.0,0,1,0,0,0,9,9,7640.0,1,0.1111111111111111,6,2,16.455555555555556,9.0,0.1111111111111111,4,0.5,1,24.0,2
