deployment_id,repo,repo_domain,default_branch,repo_language,repo_size_kb,run_id,workflow_id,workflow_name,event,head_branch,head_sha,actor_login,created_at,updated_at,completed_at,workflow_conclusion_observed,workflow_failed_observed,run_attempt,run_number,candidate_type
kubernetes/kubernetes:20321667163,kubernetes/kubernetes,platform,master,Go,1491193,20321667163,216875104,"Graph Update: go_modules in /staging/src/k8s.io/code-generator/examples, /staging/src/k8s.io/controller-manager, /staging/src/k8s.io/sample-controller #1185463674",dynamic,master,09e71afb4bc834cf08106517a528d9320c2cc94f,dependabot[bot],2025-12-18T00:25:52Z,2025-12-18T00:26:47Z,2025-12-18T00:26:47Z,success,0,1,1,explicit_deployment_intent
kubernetes/kubernetes:20327298934,kubernetes/kubernetes,platform,master,Go,1491193,20327298934,216875104,"Graph Update: go_modules in /., /staging/src/k8s.io/apiextensions-apiserver, /staging/src/k8s.io/apiserver, /staging/src/k8s.io/cloud-provider, /staging/src/k8s.io/controller-manager, /staging/src/k8s.io/dynamic-resource-allocation, /staging/src/k8s.io/kube-aggregator, /staging/src/k8s.io/kube-controller-manager, /staging/src/k8s.io/kube-scheduler, /staging/src/k8s.io/kubelet, /staging/src/k8s.io/pod-security-admission, /staging/src/k8s.io/sample-apiserver #1185632975",dynamic,master,74143f083f494c5c17ba9aca20de29d9be0a4153,dependabot[bot],2025-12-18T05:41:18Z,2025-12-18T05:42:28Z,2025-12-18T05:42:28Z,success,0,1,2,explicit_deployment_intent
kubernetes/kubernetes:20328339176,kubernetes/kubernetes,platform,master,Go,1491193,20328339176,216875104,"Graph Update: go_modules in /., /staging/src/k8s.io/apiextensions-apiserver, /staging/src/k8s.io/apiserver, /staging/src/k8s.io/cloud-provider, /staging/src/k8s.io/controller-manager, /staging/src/k8s.io/dynamic-resource-allocation, /staging/src/k8s.io/kube-aggregator, /staging/src/k8s.io/kube-controller-manager, /staging/src/k8s.io/kube-scheduler, /staging/src/k8s.io/kubelet, /staging/src/k8s.io/pod-security-admission, /staging/src/k8s.io/sample-apiserver #1185663559",dynamic,master,321e0f69d8c350940072cd9c816ec5d70cfce09d,dependabot[bot],2025-12-18T06:36:41Z,2025-12-18T06:37:46Z,2025-12-18T06:37:46Z,success,0,1,3,explicit_deployment_intent
kubernetes/kubernetes:20329381181,kubernetes/kubernetes,platform,master,Go,1491193,20329381181,216875104,"Graph Update: go_modules in /., /staging/src/k8s.io/apiextensions-apiserver, /staging/src/k8s.io/apiserver, /staging/src/k8s.io/cloud-provider, /staging/src/k8s.io/controller-manager, /staging/src/k8s.io/dynamic-resource-allocation, /staging/src/k8s.io/kube-aggregator, /staging/src/k8s.io/kube-controller-manager, /staging/src/k8s.io/kube-scheduler, /staging/src/k8s.io/kubelet, /staging/src/k8s.io/pod-security-admission, /staging/src/k8s.io/sample-apiserver #1185694035",dynamic,master,df610f8cee2c6761ec45b570f9b107e561373ddf,dependabot[bot],2025-12-18T07:27:36Z,2025-12-18T07:28:41Z,2025-12-18T07:28:41Z,success,0,1,4,explicit_deployment_intent
kubernetes/kubernetes:20333402343,kubernetes/kubernetes,platform,master,Go,1491193,20333402343,216875104,Graph Update: go_modules in /. #1185783628,dynamic,master,5eecce635d115536362573ef7e94d136dfa2181c,dependabot[bot],2025-12-18T10:10:36Z,2025-12-18T10:11:23Z,2025-12-18T10:11:23Z,success,0,1,5,mainline_delivery_proxy
kubernetes/kubernetes:20333405582,kubernetes/kubernetes,platform,master,Go,1491193,20333405582,216875104,Graph Update: go_modules in /staging/src/k8s.io/dynamic-resource-allocation #1185783753,dynamic,master,a504b1b4ebd39a76ddf942d33625a4ffd8947bcd,dependabot[bot],2025-12-18T10:10:43Z,2025-12-18T10:11:34Z,2025-12-18T10:11:34Z,success,0,1,6,explicit_deployment_intent
kubernetes/kubernetes:20341253204,kubernetes/kubernetes,platform,master,Go,1491193,20341253204,216875104,"Graph Update: go_modules in /., /staging/src/k8s.io/apiextensions-apiserver, /staging/src/k8s.io/apiserver, /staging/src/k8s.io/cli-runtime, /staging/src/k8s.io/client-go, /staging/src/k8s.io/cloud-provider, /staging/src/k8s.io/component-base, /staging/src/k8s.io/component-helpers, /staging/src/k8s.io/controller-manager, /staging/src/k8s.io/cri-client, /staging/src/k8s.io/dynamic-resource-allocation, /staging/src/k8s.io/endpointslice, /staging/src/k8s.io/kube-aggregator, /staging/src/k8s.io/kube-schedule...",dynamic,master,04d866b37de3aefac063b2b6e12f11b30701c9ff,dependabot[bot],2025-12-18T15:01:24Z,2025-12-18T15:02:35Z,2025-12-18T15:02:35Z,success,0,1,7,explicit_deployment_intent
kubernetes/kubernetes:20342896350,kubernetes/kubernetes,platform,master,Go,1491193,20342896350,216875104,Graph Update: go_modules in /hack/tools/golangci-lint #1185976405,dynamic,master,430fef557f34c6145d4607f9d65d46ac5f7a7b66,dependabot[bot],2025-12-18T15:55:22Z,2025-12-18T15:55:49Z,2025-12-18T15:55:49Z,failure,1,1,8,mainline_delivery_proxy
kubernetes/kubernetes:20354232304,kubernetes/kubernetes,platform,master,Go,1491193,20354232304,216875104,Graph Update: go_modules in /. #1186355462,dynamic,master,ed61f3fb62534c7c4467ee8d543df3070b0e16a6,dependabot[bot],2025-12-18T23:13:28Z,2025-12-18T23:14:18Z,2025-12-18T23:14:18Z,success,0,1,9,mainline_delivery_proxy
kubernetes/kubernetes:20374845714,kubernetes/kubernetes,platform,master,Go,1491193,20374845714,216875104,"Graph Update: go_modules in /., /staging/src/k8s.io/api, /staging/src/k8s.io/apiextensions-apiserver, /staging/src/k8s.io/apimachinery, /staging/src/k8s.io/apiserver, /staging/src/k8s.io/cli-runtime, /staging/src/k8s.io/client-go, /staging/src/k8s.io/cloud-provider, /staging/src/k8s.io/cluster-bootstrap, /staging/src/k8s.io/code-generator, /staging/src/k8s.io/code-generator/examples, /staging/src/k8s.io/component-base, /staging/src/k8s.io/component-helpers, /staging/src/k8s.io/controller-manager, /stagin...",dynamic,master,0ea38248603ce745956d779787874cfd91ca29ae,dependabot[bot],2025-12-19T15:40:48Z,2025-12-19T15:42:18Z,2025-12-19T15:42:18Z,success,0,1,10,explicit_deployment_intent
kubernetes/kubernetes:20376262432,kubernetes/kubernetes,platform,master,Go,1491193,20376262432,216875104,Graph Update: go_modules in /hack/tools/golangci-lint #1186981569,dynamic,master,0a3146f030628028bf466f9a0e6255e34fff2a7d,dependabot[bot],2025-12-19T16:36:38Z,2025-12-19T16:37:29Z,2025-12-19T16:37:29Z,success,0,1,11,mainline_delivery_proxy
kubernetes/kubernetes:20376264545,kubernetes/kubernetes,platform,master,Go,1491193,20376264545,216875104,"Graph Update: go_modules in /., /staging/src/k8s.io/api, /staging/src/k8s.io/apiextensions-apiserver, /staging/src/k8s.io/apimachinery, /staging/src/k8s.io/apiserver, /staging/src/k8s.io/cli-runtime, /staging/src/k8s.io/client-go, /staging/src/k8s.io/cloud-provider, /staging/src/k8s.io/cluster-bootstrap, /staging/src/k8s.io/code-generator, /staging/src/k8s.io/code-generator/examples, /staging/src/k8s.io/component-base, /staging/src/k8s.io/component-helpers, /staging/src/k8s.io/controller-manager, /stagin...",dynamic,master,268bdbe214ac64b5a31a59cfae6b96f3a1585bd3,dependabot[bot],2025-12-19T16:36:44Z,2025-12-19T16:38:11Z,2025-12-19T16:38:11Z,success,0,1,12,explicit_deployment_intent
kubernetes/kubernetes:20401739860,kubernetes/kubernetes,platform,master,Go,1491193,20401739860,216875104,"Graph Update: go_modules in /., /staging/src/k8s.io/api, /staging/src/k8s.io/apiextensions-apiserver, /staging/src/k8s.io/apimachinery, /staging/src/k8s.io/apiserver, /staging/src/k8s.io/cli-runtime, /staging/src/k8s.io/client-go, /staging/src/k8s.io/cloud-provider, /staging/src/k8s.io/cluster-bootstrap, /staging/src/k8s.io/code-generator, /staging/src/k8s.io/code-generator/examples, /staging/src/k8s.io/component-base, /staging/src/k8s.io/component-helpers, /staging/src/k8s.io/controller-manager, /stagin...",dynamic,master,dce2e8cef737ebce3a4d13d74654c50bcb244846,dependabot[bot],2025-12-20T23:48:52Z,2025-12-20T23:50:38Z,2025-12-20T23:50:38Z,success,0,1,13,explicit_deployment_intent
