repo_key,owner,repository,language,repository_quality_index,deployment_label,deployment_ready,repository_score,commit_activity_score,issue_activity_score,pr_activity_score,file_complexity_score,stars,forks,watchers,total_commits,total_issues,total_prs,total_files,size,open_issues,repository_age_days,last_update_days,has_license,has_description,popularity_score,bug_fix_ratio,feature_commit_ratio,refactor_commit_ratio,documentation_commit_ratio,average_commit_length,average_commit_words,author_diversity,commit_frequency,days_since_last_commit,closed_issue_ratio,bug_issue_ratio,average_issue_comments,stale_issue_ratio,merged_pr_ratio,average_changed_files,average_code_churn,source_code_ratio,documentation_ratio,config_ratio,test_ratio,binary_ratio,has_ci_cd,has_dockerfile,has_contributing_guide,dependency_file_count,max_directory_depth,weekend_commit_ratio,night_commit_ratio,average_issue_resolution_days,average_review_comments,average_merge_days,language_diversity,average_directory_depth,average_file_size
freeCodeCamp_freeCodeCamp,freeCodeCamp,freeCodeCamp,TypeScript,65.19,Production Ready,1,65.19,46.8,38.75,29.0,30.85,451759,45606,451759,30,20,20,100,578221,280,4219,0,1,1,350220.75,0.8667,0.1667,0.0333,0.0,108.0333,10.6333,24,0.0071,0,0.3,0.45,0.25,0.0,0.2,0.0,0.0,0.32,0.03,0.06,0.13,0.0,1,1,0,1,4,0.3333,0.1333,0.0,0.0,0.0,2,2.18,4463.27
EbookFoundation_free-programming-books,EbookFoundation,free-programming-books,Python,64.7,Production Ready,1,64.7,56.0,61.5,33.33,12.5,392056,66523,392056,30,20,20,100,21557,77,4659,0,1,1,310672.75,0.3333,0.6667,0.0,0.1,196.0,23.8667,22,0.0064,9,0.75,0.1,0.5,0.0,0.3,0.0,0.0,0.0,0.02,0.02,0.0,0.0,1,0,0,0,3,0.2667,0.0,6.0,0.0,0.1667,1,1.04,11746.08
nilbuild_developer-roadmap,nilbuild,developer-roadmap,TypeScript,63.45,Production Ready,1,63.45,41.3,65.6,59.56,8.12,360825,44525,360825,30,20,20,100,361438,12,3407,0,1,1,281750.0,0.3,0.1667,0.0,0.1333,132.3333,15.6333,15,0.0088,0,1.0,0.4,1.15,0.0,0.9,0.0,0.0,0.02,0.0,0.03,0.0,0.61,1,0,1,1,3,0.0667,0.0,3.55,0.0,0.9444,1,1.94,106976.56
public-apis_public-apis,public-apis,public-apis,Python,61.84,Production Ready,1,61.84,46.47,37.75,20.0,27.43,449880,49460,449880,30,20,20,23,6970,1550,3767,0,1,1,349775.0,0.0667,0.9,0.0,0.1,86.5333,11.1333,9,0.008,0,0.1,0.2,1.25,0.0,0.0,0.0,0.0,0.1304,0.1739,0.1304,0.2174,0.1739,1,0,1,1,3,0.5,0.0,1.5,0.0,0.0,2,1.3913,15376.0435
Snailclimb_JavaGuide,Snailclimb,JavaGuide,JavaScript,58.05,Production Ready,1,58.05,43.23,79.4,53.69,29.21,157020,46160,157020,30,20,20,100,183406,58,2989,0,1,1,129305.0,0.0667,0.0,0.0667,1.0,117.4333,15.9,6,0.01,7,1.0,0.0,1.2,0.0,0.8,0.0,0.0,0.0,0.91,0.02,0.02,0.13,1,0,0,0,5,0.2333,0.4,1.8,0.0,2.3125,2,2.7,12921.41
openclaw_openclaw,openclaw,openclaw,TypeScript,55.81,Production Ready,1,55.81,46.33,15.25,40.25,17.4,382885,80363,382885,30,20,20,100,1881220,6548,231,0,1,1,307254.5,0.5,0.0,0.5667,0.1333,138.6,17.5,3,0.1299,0,0.05,0.9,0.25,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,2,4.25,10885.8
donnemartin_system-design-primer,donnemartin,system-design-primer,Python,55.21,Production Ready,1,55.21,41.23,45.6,20.0,24.66,357516,57204,357516,30,20,20,100,11277,571,3424,0,1,1,282438.0,0.8,0.1,0.0,0.0,51.6667,8.2333,30,0.0088,116,0.2,0.1,0.6,0.0,0.0,0.0,0.0,0.2,0.06,0.02,0.0,0.43,0,0,1,0,3,0.5,0.4333,0.0,0.0,0.0,3,1.86,107054.36
langchain-ai_langchain,langchain-ai,langchain,Python,54.91,Production Ready,1,54.91,68.0,44.38,40.25,31.44,141731,23545,141731,30,20,20,100,585856,416,1366,0,1,1,112184.5,0.5,0.6667,0.3333,0.4667,4734.1333,348.0333,6,0.022,0,0.7,0.85,1.95,0.0,0.45,0.0,0.0,0.37,0.05,0.05,0.07,0.02,1,0,0,0,4,0.0667,0.3,0.0714,0.0,0.0,2,2.23,6624.19
krahets_hello-algo,krahets,hello-algo,Java,53.54,Production Ready,1,53.54,57.67,48.2,42.4,36.9,128477,15419,128477,30,20,20,100,464747,38,1347,0,1,1,100212.5,0.4667,0.3,0.1333,0.5333,229.6667,36.2,6,0.0223,86,0.65,0.3,1.2,0.2857,0.5,0.0,0.0,0.64,0.02,0.18,0.02,0.0,1,1,0,0,3,0.2333,0.1667,14.5385,0.0,0.1,1,2.66,2142.88
ReactiveX_RxJava,ReactiveX,RxJava,Java,52.9,Production Ready,1,52.9,52.0,57.75,65.0,34.62,48239,7589,48239,30,20,20,100,176935,13,4934,0,1,1,38076.5,0.5333,0.4,0.2,0.1333,281.5333,22.5667,3,0.0061,1,0.9,0.3,0.75,1.0,1.0,0.0,0.0,0.22,0.44,0.04,0.0,0.01,1,0,1,1,7,0.1667,0.2,27.8889,0.0,0.0,4,2.27,9382.24
