repo_key,owner,repository,language,deployment_label,deployment_ready,stars,forks,watchers,total_commits,total_issues,total_prs,total_files,size,open_issues,repository_age_days,last_update_days,has_license,has_description,bug_fix_ratio,feature_commit_ratio,refactor_commit_ratio,documentation_commit_ratio,average_commit_length,average_commit_words,author_diversity,commit_frequency,days_since_last_commit,closed_issue_ratio,bug_issue_ratio,average_issue_comments,stale_issue_ratio,merged_pr_ratio,source_code_ratio,documentation_ratio,config_ratio,test_ratio,binary_ratio,has_ci_cd,has_dockerfile,has_contributing_guide,dependency_file_count,max_directory_depth,weekend_commit_ratio,night_commit_ratio,average_issue_resolution_days,average_merge_days,language_diversity,average_directory_depth,average_file_size
lewagon_data-setup,lewagon,data-setup,Ruby,Not Ready,0,1928,512,1928,30,20,20,100,49117,16,2474,20,0,1,0.1,0.0,0.0,0.0667,26.5667,3.4667,2,0.0121,33,0.4,0.15,0.7,0.0,0.95,0.0,0.02,0.01,0.01,0.0,1,0,0,1,2,0.0,0.0333,27.0,0.0526,0,1.16,5065.85
patrikhuber_eos,patrikhuber,eos,C++,Not Ready,0,1975,595,1975,30,20,20,100,14975,31,4171,0,1,1,0.1333,0.4667,0.0667,0.0333,176.2667,26.5,2,0.0072,526,0.85,0.55,2.65,1.0,0.5,0.06,0.02,0.05,0.0,0.01,1,0,0,0,4,0.2,0.2667,89.2941,27.4,1,2.63,22492.04
Chalarangelo_30-seconds-of-code,Chalarangelo,30-seconds-of-code,JavaScript,Production Ready,1,128375,12482,128375,30,20,20,100,742556,0,3148,0,1,1,0.0667,0.8333,0.0,0.0333,333.4,22.8667,2,0.0095,24,1.0,0.5,2.65,0.0,0.55,0.01,0.04,0.02,0.01,0.72,1,0,1,0,3,0.2,0.2,11.6,4.7273,1,2.35,536051.31
yob_pdf-reader,yob,pdf-reader,Ruby,Needs Improvements,1,1924,284,1924,30,20,20,100,27870,67,6615,0,1,1,0.0667,0.3667,0.0,0.0,992.9667,91.5,1,0.0045,71,0.35,0.65,1.75,0.8462,0.9,0.5,0.01,0.02,0.03,0.0,0,0,0,1,4,1.0,0.0,328.5714,0.1111,2,2.43,9805.46
huggingface_transformers,huggingface,transformers,Python,Production Ready,1,162589,33877,162589,30,20,20,100,514929,2478,2814,0,1,1,0.7,0.5333,0.1333,0.3667,855.3,104.8333,19,0.0107,0,0.45,0.95,1.35,0.0,0.1,0.06,0.05,0.04,0.06,0.0,1,0,1,0,3,0.0333,0.2,0.5556,0.0,2,1.57,5587.63
ranile_gloo,ranile,gloo,Rust,Needs Improvements,1,1994,165,1994,30,20,20,100,2408,68,2699,0,1,1,0.3667,0.4667,0.0333,0.1,336.3667,37.0,11,0.0111,59,0.75,0.75,1.2,0.8,0.2,0.46,0.12,0.14,0.18,0.0,1,0,1,11,4,0.0667,0.1,237.8667,11.75,1,2.52,3825.17
discourse_discourse,discourse,discourse,Ruby,Not Ready,0,47462,8951,47462,30,0,20,100,941030,210,4931,0,1,1,0.4,0.4333,0.0333,0.0667,746.3667,102.1333,17,0.0061,0,0.0,0.0,0.0,0.0,0.4,0.02,0.02,0.03,0.12,0.03,1,0,1,1,3,0.0,0.2667,0.0,0.0,1,1.53,4645.0
rtk-ai_rtk,rtk-ai,rtk,Rust,Needs Improvements,1,70892,4395,70892,30,20,20,100,5700,1585,172,0,1,1,0.4667,0.3333,0.1667,0.2667,287.7667,36.6333,6,0.1744,5,0.2,0.8,0.45,0.0,0.0,0.02,0.26,0.04,0.05,0.0,1,0,1,1,4,0.1667,0.0,0.0,0.0,3,1.85,8386.86
mtrebi_memory-allocators,mtrebi,memory-allocators,C++,Not Ready,0,1986,171,1986,30,20,12,44,1146,16,3520,1,1,1,0.2,0.3333,0.1667,0.0333,97.6667,13.5667,10,0.0085,92,0.25,0.35,1.6,1.0,0.75,0.1818,0.4318,0.0455,0.0,0.3864,0,0,0,0,2,0.2,0.1667,2.0,175.8889,1,1.2727,10292.2273
chiihero_Microsoft-Rewards-Script,chiihero,Microsoft-Rewards-Script,TypeScript,Needs Improvements,1,300,35,300,30,20,3,85,1513,1,397,0,1,1,0.2,0.0333,0.1,0.3333,74.9667,7.7,1,0.0756,12,0.95,0.35,1.5,0.0,0.6667,0.6353,0.0235,0.0588,0.0,0.0,1,1,0,1,4,0.0,0.3333,34.7895,11.5,3,1.9529,8964.3294
Gozargah_Marzban-node,Gozargah,Marzban-node,Python,Needs Improvements,1,300,158,300,30,20,20,17,49,13,1240,0,1,1,0.2667,0.2333,0.0333,0.2333,39.6,5.4,7,0.0242,479,0.6,0.4,1.25,1.0,0.6,0.4118,0.1176,0.2353,0.0,0.0,1,1,0,1,2,0.5,0.0333,50.4167,11.25,1,0.1176,4042.5294
antonioribeiro_health,antonioribeiro,health,PHP,Needs Improvements,1,1969,208,1969,30,20,20,100,4380,64,3516,5,1,1,0.3333,0.0333,0.0333,0.0,41.5333,6.5333,3,0.0085,636,0.0,0.05,0.0,0.5,0.75,0.65,0.12,0.02,0.02,0.1,1,0,0,2,3,0.0,0.0,0.0,0.0,2,1.95,8464.36
